title,abstract,publish
Converting inert plastic waste into energetic materials: A study on the light-accelerated decomposition of plastic waste with the Fenton reaction,"Better treatment and management strategies than landfilling are needed to address the large quantities of unrecycled plastic waste generated by daily human activities. Waste-to-energy conversion is an ideal benchmark for developing future large-scale waste management technologies. The present study explores a new approach for producing energetic materials by converting inert plastic waste into energy (thermal and mechanical energies) via a light-controlled process through the simple chemical activation of plastic waste, including polyethylene, polypropylene, and polyvinyl chloride. The inert and non-polar polymer surfaces of the plastics were modified by generating a number of sulfonic groups (-SO3-) using chlorosulfuric acid, followed by grafting of Fe(III) catalyst onto the polymer chains to obtain activated polymer. Elemental analyses of these activated materials showed that the carbon-to-sulfur ratio ranged from 3:1 to 5:1. The FTIR spectra indicated the presence of C=C bonds (v(C=C): 1615-1630 cm(-1)) and S=O bonds (v(S=O): 1151-1167 cm(-1)) in the activated polymers after chemical reaction. These activated materials were energetic, as light could be used to convert them into thermal (1800-3200 J/g) and mechanical energies (380-560 kPa/g) using hydrogen peroxide as the oxidant under ambient conditions within 1 h. (C) 2018 Elsevier Ltd. All rights reserved.",2018
"Synthesis and characterization of 5-amino-1,3,6-trinitro-1","Two synthetic routes for the preparation of 5-amino-1,3,6-trinitro-1H-benzo[d]imidazol-2(3H)-one (2) as an energetic material have been revealed. Direct nitration of 5-amino-1H-benzo[d]imidazol-2(3H)-one (1) gave the trinitrated compound 2 in a poor yield of 11%; and similarly using 1 as starting material, 2 was obtained by N-protected reaction, nitration, deprotection and again nitration reaction with an overall-yield of 48%. All structures of 2 and relevant compounds were determined by IR, H-1 NMR, C-13 NMR spectroscopy, MS and elemental analysis. Theoretical calculations showed that the detonation properties of compound 2 (D = 7.78 km s(-1), P = 27.05 GPa) were satisfactory, compared with 2,4,6-trinitrotoluene (TNT, D = 7.21 km s(-1), P = 22.49 GPa).",2014
Keeping the Same Ratio of the Ligand and Perchlorate: Realizing the High Performance of Energetic Materials by Changing the Bonding Mode,"In addition to the three classical methods for adjustingthe performanceof energetic complexes, in order to explore the influence of differentbonding types on the performance of energetic materials, we designedionic salts PZCA & BULL;HClO4 (3) and ECPs [Ag(PZCA)ClO4]( n ) (4) with PZCA(1H-pyrazole-4-carbohydrazide) as the ligand. They use thesame ligands and oxidizing acids and also have the same N/O number.On the basis of their structures and compositions confirmed by infraredspectroscopy, elemental analysis, and single-crystal X-ray diffraction,the characterization of physical and chemical properties shows that 4 has better thermal decomposition behavior (& UDelta;T = 30 & DEG;C), more suitable mechanical sensitivity (IS= 5 J, FS = 9 N), and more outstanding initiation performance. Afterstudying the decomposition mechanism, we find that different typesof bonds (H bond or coordination covalent bond) lead to differentdecomposition mechanisms (redox reaction or free radical reaction)and, finally, show great differences in explosive properties.",2023
Evaluation of the Appropriate Use of Characterization Methods for Differentiation between Cocrystals and Physical Mixtures in the Context of Energetic Materials,"Cocrystallization is an attractive method by which to tune the physical properties of energetic materials. However, in the absence of single-crystal X-ray diffraction (SC-XRD), rigorously characterizing the results of cocrystallization attempts can be difficult. Specifically, differentiating between physical mixtures and true cocrystalline materials is challenging due to the propensity for energetic molecules to form solvates and/or polymorphs. The suitability and limitations of morphological analysis, vibrational (infrared and Raman) spectroscopy, and powder XRD are discussed within the context of six previously published materials claimed to be cocrystals but lacking SC-XRD structures. It was found that in all six cases the data originally published are consistent with crystallization of physical mixtures of the two starting components; in three of these cases the crystallization procedures were reproduced and the characterization data support the presence of physical mixtures. Data interpretation is convoluted by the presence of solvent/solvate formation or polymorphism in all six cases illustrating the ubiquity of the challenges faced in energetic cocrystal discovery.",2017
Thermal kinetic performance and storage life analysis of a series of high-energy and green energetic materials Metal perchlorates with carbohydrazide,"The thermal kinetic performance and storage life of tris(carbohydrazide) manganese(II) perchlorate (GTM), tris(carbohydrazide) nickel(II) perchlorate (GTN), tris(carbohydrazide) zinc(II) perchlorate (GTX), and tris(carbohydrazide) cadmium(II) perchlorate (GTG), as important high-energy and green materials, were carried out by the DSC, (thermogravimetric) TG, and a dynamic pressure measuring thermal analysis (DPTA) method. The thermal behavior, kinetics, thermal safety, and storage life of them were investigated. The results show that there are three mass-loss stages in TG curves, and one endothermic peak and two exothermic peaks in DSC curve for them. The first mass-loss stages are the melting processes, and the thermal decompositions have happened in this stage. The kinetic data were obtained from the DSC and TG curves by integral and differential methods. The most probable kinetic models and kinetic equations were suggested by polynomial fitting the kinetic data. The specific heat capacity was determined with theoretical calculation method, and then self-accelerating decomposition temperature (T-SADT), thermal ignition temperature (T-TIT), critical temperatures of thermal explosion (T-b), and the adiabatic time-to-explosion (t(TIAD)) are calculated, respectively. The storage lives of 0.01 % conversion rate for GTM, GTN, GTX, and GTG at 25 degrees C are 4.52a (annual), 9.26a 10.75a, and 7.57a. GTX is the most excellent carbohydrazide perchlorate.",2015
Residues from low-order energetic materials: The comparative performance of a range of sampling approaches prior to analysis by ion chromatography,"A quantitative study of common forensic evidence collection devices for the recovery of low-explosive residues from non-porous glass and plastic is presented herein. Swabbing materials including cotton, rayon, Nomex (R) (poly(isophthaloylchloride/m-phenylenediamine)), Teflon/Teflon-coated fibreglass (polytetrafluoroethylene) and adhesive-coated tapes were used to collect known quantities of up to 14 forensically relevant inorganic and organic anion and cation species from both surfaces. Analysis was performed using two validated ion chromatography methods. This study revealed that all swabs and surfaces contributed highly variable levels of interfering ionic species and that swabbing materials showed variance in the quantities and total number of analytes recovered from both surfaces. Teflon and Nomex (R) materials demonstrated the most promise due to their ability to collect and release analytes into simple extraction solvents as well as displaying relatively low endogenous interference. In parallel, the ability to extract residue directly from both surfaces via the addition of a suitable extraction solvent was investigated instead of swabbing. This work highlights that direct solvent extraction from a surface should be considered as an alternative approach, especially for small areas or objects. To the best of our knowledge, this work represents the most comprehensive study of the efficiencies of sample collection technologies for low-explosive residues prior to analysis by ion chromatography. (C) 2013 Elsevier Ireland Ltd. All rights reserved.",2013
Differential and Integral Isoconversional Non-linear Methods and Their Application to Energetic Materials. III. Non-isothermal Decomposition Reaction Kinetics of Benzotrifuroxan,"The thermal behaviour and decomposition reaction kinetics of benzotrifuroxan (BTF) were determined by TG and DSC techniques. The kinetic parameters of the exothermic decomposition reaction in a temperature programmed mode (the apparent activation energy E-a and pre-exponential factor A) were calculated by a single non-isothermal DSC curve. The E values calculated using the Kissinger and Flynn-Wall-Ozawa equations and integral isoconversional non-linear equations were used to check the validity of activation energy by a single non-isothermal DSC curve. The results show that the kinetic model function in integral form and the values of E-a and A of the decomposition reaction of BTF are [-1n(1-alpha)](2/3), 109.95 kJ center dot mol(-1) and 10(8.16) s(-1), respectively. The values of Delta S-not equal, Delta H-not equal and Delta G(not equal) of this reaction are -93.15.J center dot mol(-1)center dot K-1, 150.72 kJ center dot mol(-1) and 153.15 kJ center dot mol(-1), respectively. The critical temperature of thermal explosion of BTF is 257.33 degrees C.",2008
"Improved synthesis of an energetic material, 1,3,3-trinitroazetidine (TNAZ) exploiting 2-iodoxy benzoic acid (IBX) as an oxidising agent","Tetrahydropyranyl protected 1,3-dihalo-2-propanol reacts with p-toluene sulfonamide in the presence of K2CO3 to give corresponding N-p-tosyl-3-azetidinol. Deprotection and oxidation with iodoxy benzoic acid followed by oximation of N-p-tosyl-3-azetidinone readily affords the corresponding azetidine oxime in almost quantitative yield. The subsequent oxidative nitrolysis of oxime gives 1,3,3-trinitroazetidine (TNAZ) through a new sequence of reactions with excellent purity (> 99%) and moderate yield (40%).",2005
"Autocatalytic decomposition of energetic materials: interplay of theory and thermal analysis in the study of 5-amino-3,4-dinitropyrazole thermolysis","A reliable kinetic description of the thermal stability of energetic materials (EM) is very important for safety and storage-related problems. Among other pertinent issues, autocatalysis very often complicates the decomposition kinetics of EM. In the present study, the kinetics and decomposition mechanism of a promising energetic compound, 5-amino-3,4-dinitro-1H-pyrazole (5-ADP) were studied using a set of complementary experimental (e.g., differential scanning calorimetry in the solid state, melt, and solution along with advanced thermokinetic models, accelerating rate calorimetry, and evolved gas analysis) and theoretical techniques (CCSD(T)-F12 and DLPNO-CCSD(T) predictive quantum chemical calculations). The experimental study revealed that the strong acceleration of the decomposition rate of 5-ADP is caused by two factors: the progressive liquefaction of the sample directly observed using in situ optical microscopy, and the autocatalysis by reaction products. For the first time, the processing of the non-isothermal data was performed with a formal Manelis-Dubovitsky kinetic model that accounts for both factors. With the aid of quantum chemical calculations, we have rationalized the autocatalysis present in the formal kinetic models at the molecular level. Theory revealed an unusual primary decomposition channel of 5-ADP, viz., the two subsequent sigmatropic H-shifts in the pyrazole ring followed by the C-NO2 bond scission yielding a pyrazolyl and nitrogen dioxide radicals as simple primary products. Moreover, we found the secondary reactions of the latter radical with the 5-ADP to be kinetically unimportant. On the contrary, the substituted pyrazolyl radical turned out to undergo a facile addition to 5-ADP, followed by a fast exothermic elimination of another NO2 species. We believe the latter process to contribute remarkably to the observed autocatalytic behavior of 5-ADP. Most importantly, the calculations provide detailed mechanistic evidence complementing the thermoanalytical experiment and formal kinetic models.",2022
"1-Amine-1,2,3-triazolium salts with oxidizing anions: A new family of energetic materials with good performance","A series of 1-amino-1,2,3-triazole (ATZ) based energetic nitrogen-rich salts are prepared by using acid-base neutralization reaction (1:1 M ratio), and fully characterized. Structures of the salts are recrystallized and determined by single-crystal X-ray diffraction, which dominated by a strong hydrogen-bond influence with the densities ranging from 1.692 to 1.868 g cm(-3). Thermal behaviors have characterized by using the DSC and TG-DTG technologies. The enthalpies of formation have calculated by using Gaussian 03. The detonation parameters of the salts are determined by using the K-J method, and most salts show promising detonation performances (D: 6699-8231 m s(-1), P: 19.2-30.7 GPa), among which the salt of 1-amino-1,2,3-triazolium trinitrophloroglucinate has a detonation properties comparable to RDX. The sensitivities results provided the salts as insensitive energetic materials. (C) 2018 Elsevier B.V. All rights reserved.",2018
"Conversion of aromatic amines and N-aromatic amides to O-aromatic esters, biphenyls, aromatic halides and energetic materials via nitrosamide intermediates","The conversion of aromatic amines to esters and phenols is a very useful transformation typically carried out using diazonium salt intermediates but the yields and product purity are highly variable. Aliphatic primary amides can be converted to esters via the corresponding N-nitrosamides but the reaction is of little utility. Little is known about the analogous reaction of primary amides derived from aromatic amines. It has been discovered that the reaction of aromatic amides with nitrite in a solution of acetic anhydride and acetic acid gives the corresponding esters in good to excellent yields. This reaction is functional group tolerant. Acetanilides, trifluoroacetanilides, and benzanilides gave the corresponding acetates, trifluoroacetates, and benzoates. These esters can be converted to the corresponding phenols easily and quantitatively. Formation of biphenyls though aromatic nitrosamides have been observed in the past but the nitrosamide either had to be synthesized under harsh conditions, or isolated first. It has been discovered that the introduction of a reactive solvent, methyl methacrylate, into this reaction sequence developed for the formation of esters resulted in polymerization of methyl methacrylate. Changing the reactive solvent to benzene has allowed the formation of biaryls under mild conditions without isolating the aromatic nitrosamide. In some cases, when benzoic acid is added to the reaction, deamination has occurred. In one case, with 1,8-bis(N-acetamido)naphthalene, when benzoic acid was added to the reaction the formation of perylene occurred. The introduction of halogens into aromatic compounds is an important synthetic procedure. Some of the present methods, in use today, require harsh conditions, provide a mixture of usually ortho or para halogenated products, or provide variable yields ranging from poor to excellent, depending on the substituent attached to the aromatic ring and/or the conditions the reaction is carried out. It has been discovered that the introduction of a suitable halogen source into the reaction sequence will allow the conversion of the aromatic secondary amides to aromatic halides in moderate to good yields under mild conditions. These reactions can be carried out directly on aromatic amines (initial in situ acetanilide formation) to give aromatic acetates, and halides in good to excellent isolated yields. The mechanism, scope, potential utility of these reaction as well as the use of the nitrosamide as an initiator for polymerization reactions will be discussed in this dissertation.",2002
"3-Methyl-1,2,3-triazolium-1","3-Methyl-1,2,3-triazolium-1N-dinitromethylylide, an exemplary zwitterionic energetic molecule, is the first fully-studied energetic material making use of the zwitterionic dinitromethyl functional group. This compound has impact and friction sensitivities of 8 J and 144-160 N respectively with a detonation velocity of 8162 m s(-1).",2021
Construction of an Unusual Two-Dimensional Layered Structure for Fused-Ring Energetic Materials with High Energy and Good Stability,"The creation of high-performance energetic materials with good mechanical sensitivities has been a great challenge over the past decades, since such materials have huge amounts of energy and are thus essentially unstable. Here, we report on a promising fused-ring energetic material with an unusual two-dimensional (2D) structure, 4-nitro-7-azido-pyrazol-[3,4-d]-1,2,3-triazine-2-oxide (NAPTO), whose unique 2D structure has been confirmed by single-crystal X-ray diffraction. Experimental studies show that this novel energetic compound has remarkably high energy (detonation velocity D = 9.12 km.s(-1); detonation pressure P = 35.1 GPa), excellent sensitivities toward external stimuli (impact sensitivity IS = 18 J; friction sensitivity FS = 325 N; electrostatic discharge sensitivity EDS = 0.32 J) and a high thermal decomposition temperature (203.2 degrees C), thus possessing the dual advantages of high energy and low mechanical sensitivities. To our knowledge, NAPTO is the first fused-ring energetic material with 2D layered crystal stacking. The stabilization mechanism toward external stimuli were investigated using molecular simulations, and the theoretical calculation results demonstrate that the ultraflat 2D layered structure can buffer external mechanical stimuli more effectively than other structures by converting the mechanical energy acting on the material into layer sliding and compression. Our study reveals the great promise of the fused-ring 2D layered structure for creating advanced energetic materials. (C) 2020 THE AUTHORS. Published by Elsevier LTD on behalf of Chinese Academy of Engineering and Higher Education Press Limited Company.",2020
Steric and energetic investigations of adsorption isotherms of methylene blue on new polymeric multi-layered material-based k-carrageenan and alginate,"In this research study, we examined the adsorption behavior of methylene blue (MB) on a novel biosorbent made of polyelectrolyte multilayers (PEM) biopolymeric material at three different temperatures. Various models derived from statistical physics formalism were employed to analyze the adsorption isotherms. An alternative approach based on the application of multilayer models from statistical physics theory was used to better investigate the adsorption mechanisms of MB on the PEM grafting material. We adjusted various parameters within this model across temperatures of 295K, 313 K, and 333 K, and these parameters played a crucial role in comprehending the adsorption mechanism. In addition, this approach revealed that the MB dye is linked through a multilayer process on the PEM grafting material with 'non-parallel' configurations and multimolecular process. The PEM grafting material showed maximum adsorption capacities ranging from 632.23 mg/g to 463.76 mg/g for the removal of MB over a pH of 6. The calculated adsorption energies ranged from 11.6 to 18.65 kJ/cool, indicating that the MB adsorption process was primarily of a physisorption nature influenced by both hydrogen bonding and van der Waals interactions. Thus, the theoretical analysis indicated that this low-cost adsorbent material (PEM grafting) is a promising material for the removal of MB dye from the solution. Additionally, we examined the adsorption behavior by calculating the entropy, the free energy and the internal energy which govern the adsorption process of MB onto the PEM grafting material.",2024
Modeling and analysis of hygroscopicity of energetic materials under various temperature and relative humidity conditions: A case study on ammonium nitrate,"Ammonium nitrate (AN) is widely used in agriculture, explosives and propellants, but its strong hygroscopicity limits its further application. In this paper, a novel water vapor modeling method is proposed to evaluate the hygroscopicity of AN particle under various temperature and relative humidity (RH) environments. Molecular dynamics simulations are employed to investigate the intermolecular interactions during the moisture absorption process. The simulation results demonstrate that the hygroscopicity of AN exhibits an increasing trend with both temperature and RH, and electrostatic force is the main reason for hygroscopicity. Moreover, the influence of temperature on hygroscopicity is found to be more significant compared to RH. Combining experiments and simulations, a mathematical formula has been developed for rapidly comparing the hygroscopicity of AN in specific environments. This method demonstrates simplicity, efficiency, and accuracy, enabling assessment of the hygroscopic performance of AN (or modified AN) across a broad spectrum of temperature and RH conditions.",2024
"Radical-mediated C-N bond activation in 3,5-diamino-4-nitro-1","C-N bond activation has been recognized as a powerful methodology in organic synthesis, but C-N bond activation on monocyclic rings remains an intractable challenge, due to the high energy barrier required for the dearomatization process. Now a facile and efficient nitrogen-centered-radical-mediated approach to cleave C-N bonds in a monocyclic pyrazole is described. Using N-bromosuccinimide as a radical initiator, C-N bond cleavage was achieved in yields up to 91%. This reaction Led to an important precursor (2), subsequently annulated and oxidized to an energetic compound 4, which exhibits promising application in balancing performances and thermal stabilities.",2022
"1,3,5-Triiodo-2,4,6-trinitrobenzene (TITNB) from benzene: Balancing performance and high thermal stability of functional energetic materials","In order to deal with biohazards from nature or biological weapons, it is urgent and necessary to develop functional energetic materials as an ingredient of agent defeat weapons (ADWs). Now, 1,3,5-triiodo-2,4,6-trinitrobenzene (TITNB, 1) was obtained from benzene by an easy two-step reaction. The structure of 1 was confirmed by single crystal X-ray diffraction. Compound 1 has a remarkable experimental density of 3.05 g cm(-3) at room temperature and a good detonation performance. In addition, it contains 64.44% iodine and has a high decomposition temperature of 367 degrees C. These fascinating properties make it very attractive for high performance applications such as agent defeat weapons (ADWs).",2019
1-Amino-5-nitriminotetrazole: Effective Interaction of N-Nitro and N-Amino Functionalities for Outperforming and Applicable Energetic Materials,"1-Amino-5-nitriminotetrazole is synthesized for the first time via acid-catalyzed protection of 1,5-diaminotetrazole with acetone followed by aprotic nitration using N2O5 and in situ deprotection. The salts of 1-amino-5-nitriminotetrazolate are synthesized by addition of the corresponding bases. Most of the nitrogen-rich salts show insane explosive properties and compete with the most powerful non-nuclear explosives. The implementation of a fused triazolium cation yields a promising secondary explosive, with high performance but also low sensitivity and high thermal stability. Metal salts (K and Ag) are successfully used to initiate pentaerythritol tetranitrate using a classical detonator setup.",
Unusual Cu-Co/GO Composite with Special High Organic Content Synthesized by an ,"An interesting Cu-Co/GO composite with special high organic content was accidentally fabricated for the first time via a one-pot solvothermal method in the mixed solvent of isopropanol and glycerol. The Cu-Co/GO composite was calcined separately in three different atmospheres (air, nitrogen, and argon) and further investigated by a series of characterization techniques. The results indicate that the spinel phase nano-CuCo2O4 composite, nanometal oxides (CuO and CoO), and nanometal mixture of Cu and Co were unexpectedly formed after calcination in air, N-2, and Ar atmospheres, respectively, and the possible reaction mechanism was discussed. The specific mass losses of the Cu-Co/GO composite calcined in air, N-2, and Ar atmospheres were 28.14 %, 21.68 %, and 23.76 %, respectively. The catalytic decomposition performances of the as-prepared samples for cyclotrimethylenetrinitramine (RDX) and the mixture of nitrocellulose (NC) and RDX (NC + RDX) were investigated and compared via DSC method, and the results demonstrate that Cu-Co/GO composites obviously decrease the thermal decomposition temperature of RDX from 242.3 to 236.5 (before calcination), 238.6 (air), 235.8 (N-2), and 228.6 degrees C (Ar), respectively. Cu-Co/GO(Ar) composite exhibits the best catalytic decomposition performance among all samples, which makes the decomposition temperature of RDX and NC + RDX decrease by 13.7 and 4.9 degrees C and the apparent activation energy of decomposition for RDX decrease by 110.1 kJ/mol. The enhanced catalytic performance of Cu-Co/GO(Ar) composite could be attributed to the smaller particle size, better crystallinity, and specific well-dispersed metal atoms, whereas the Cu-Co/GO(air) composite after air calcination presents a bad catalytic performance due to the removal of GO.",2020
Tailoring Vibrational Signature and Functionality of 2D-Ordered Linear-Chain Carbon-Based Nanocarriers for Predictive Performance Enhancement of High-End Energetic Materials,"A recently proposed, game-changing transformative energetics concept based on predictive synthesis and preprocessing at the nanoscale is considered as a pathway towards the development of the next generation of high-end nanoenergetic materials for future multimode solid propulsion systems and deep-space-capable small satellites. As a new door for the further performance enhancement of transformative energetic materials, we propose the predictive ion-assisted pulse-plasma-driven assembling of the various carbon-based allotropes, used as catalytic nanoadditives, by the 2D-ordered linear-chained carbon-based multicavity nanomatrices serving as functionalizing nanocarriers of multiple heteroatom clusters. The vacant functional nanocavities of the nanomatrices available for heteroatom doping, including various catalytic nanoagents, promote heat transfer enhancement within the reaction zones. We propose the innovative concept of fine-tuning the vibrational signatures, functionalities and nanoarchitectures of the mentioned nanocarriers by using the surface acoustic waves-assisted micro/nanomanipulation by the pulse-plasma growth zone combined with the data-driven carbon nanomaterials genome approach, which is a deep materials informatics-based toolkit belonging to the fourth scientific paradigm. For the predictive manipulation by the micro- and mesoscale, and the spatial distribution of the induction and energy release domains in the reaction zones, we propose the activation of the functionalizing nanocarriers, assembled by the heteroatom clusters, through the earlier proposed plasma-acoustic coupling-based technique, as well as by the Teslaphoresis force field, thus inducing the directed self-assembly of the mentioned nanocarbon-based additives and nanocarriers.",2022
"Polymorph-Dependent Initial Thermal Decay Mechanism of Energetic Materials: A Case of 1,3,5,7-Tetranitro-1,3,5,7-Tetrazocane","Polymorphism is universal in energetic materials (EMs), and polymorphic transition may lead to variations of structure and performance. This work exemplifies such variations by revealing the polymorph-dependent mechanism of initial thermal decomposition of a typical EM, 1,3,5,7-tetranitro-1,3,5,7-tetrazocane (HMX), using density functional tight-binding molecular dynamics simulations. This polymorphic dependence is reflected by the differences in starting steps and their weights and the evolutions of potential energy, reactants, and some important intermediates and products. Our simulations show that delta-HMX, thermally transitioned from alpha- or beta-HMX, possesses the lowest thermostability; the C-N cleavage and the NO2 partition initiate the thermal decomposition of all three polymorphs, and their weights increase and reduce with the increasing temperature; and the intermediate-initiated thermal decomposition of the HMX molecules occurs only in the beta-formed polymorph. The polymorphic dependence is originated from the differences of molecular conformers and stacking mode of different polymorphs, which further result in the differences in internal energy, intermolecular contact, and intermolecular reaction. This work presents a molecular insight into the polymorph-dependent thermal decomposition mechanism and exemplifies the importance of thinking highly of the structure transitioned, instead of the most stable structure under common conditions only.",2021
Synthesis and properties of transition metal coordination energetic materials based on a versatile and multifunctional 1-Aminotetrazol-5-one ligand,"New energetic transition metal (Co, Cu, Zn, and Cd) coordination compounds (CCs) based on versatile and multifunctional 1-amino-tetrazol-5-one ligand were prepared by using a facile strategy. All the synthesized CCs were characterized by single-crystal X-ray diffraction. They crystallize in common space groups with high densities in the range of 2.246 to 2.598 g.cm(-3) and their onset decomposition temperatures were found in the range of 292.C (CC1) to 327. C (CC3). Further investigations revealed that in addition to the coordination bonds the strong hydrogen bond interactions also exist, which ultimately decided the crystal structure engineering and physical properties of the resultant CCs. The mechanical sensitivities towards impact and friction were evaluated using standard methods and as a result, the energetic metal CCs are were classified as insensitive. The flame test of these energetic metal CCs showed a range of characteristic flame colors from light blue to blue-green except for the cadmium coordination compound, which indicates colorless flame. Hence, the insensitivities of these CCs towards impact and friction as well as characteristic flame colors support their potential use as insensitive energetic materials or pyrotechnics.",2021
"Pressure-induced physical and chemical changes of non-conventional energetic materials: Nitrate, perchlorate and peroxide chemistries at high pressures and high temperatures","Non-conventional explosives are widely used in terrorist activities, thus imposing a threat to homeland security. The simple combination of oxidizers with fuels is one popular category. Our goal is to explore and understand chemistry in selected oxidizers over a relevant pressure-temperature (P-T) regime of blast conditions, to get insights into fundamental chemistry associated with the selected energetic molecules and energetic processes at molecular level, for mitigation applications. We have investigated ammonium nitrate (AN), ammonium perchlorate (AP), and simple group IA peroxides under high-pressure high-temperature conditions, using confocal micro-Raman spectroscopy and synchrotron x-ray diffraction. AN studies conducted up to 50 GPa and 450 °C provide new constraints for its phase diagram. The spectral evidence confirms the presence of phase IV´ in a wide range of both thermal and chemical conditions. The strengthening of hydrogen bonding observed for phase IV´ influences the melt-decomposition line, showing an unusual turnover of decomposition temperature. We have proposed two models for decomposition, based on the phase from which it occurs. In addition, we observed an enhanced stability for phase IV in different chemical environments. AP studies conducted up to 50 GPa and 450 °C show spectral evidence for three new ordered phases (III, IV and VI) at various P-T conditions with varying degrees of hydrogen bonding. Decomposition occurs from phase V which we suggest to be initiated via a diffusion pathway. The proposed phase diagram shows a rich polymorphism and replacement of melt from a decomposition line. Both Li 2 O 2 and Na 2 O 2 studies show evidence for pressure-induced phase and chemical transitions, similar to H 2 O 2 . We observed comparatively higher transition pressures for both phase I → II and chemical decomposition transitions in Li 2 O 2 . This suggests the influence of the degree of intermolecular interactions on transition pressures. The orthorhombic Li 2 O 2 phase II with enhanced stability is a structure with different packing. Unlike nitrates and perchlorates, alkali metal peroxides are the only type of oxidizers considered in this study in which hydrogen bonding is absent. Our results show that both the presence of hydrogen bonding and its degree have varying effects on their decomposition mechanisms and transition pressures and temperatures.",2015
"Investigation of linear and nonlinear optical properties of 3, 6-bis pyridine-1, 2, 4, 5-tetrazine: a high nitrogen-energetic material","Of late, high-nitrogen energetic materials have garnered a lot of attention among researchers as they contribute to amplifying the progress of research and applications such that they typically leave a lasting impression which leads to significant scientific growth. 1,2,4,5-tetrazine and its 3,6-disubstituted derivatives continue to make inroads which pave the way for applications of diverse nature. On these lines, the organic compound of 3,6-bis Pyridine-1,2,4,5 - Tetrazine (BPTZ) has been preferred for the present investigation such that its synthesis and the basic characterizations of NMR, XRD and elemental analyses have been carried out. The required vibrational studies have been accomplished by employing FTIR as well as Raman spectroscopic analyses. The structure of BPTZ has been obtained theoretically by carrying out DFT/B3LYP calculations with the implementation of B3LYP/ 6-311G** basis set. Hyper Rayleigh scattering analysis has been accomplished and the first hyperpolarizability (b) of the title compound has been also computed making use of the technique of second harmonic light scattering (SHLS). The efficiency of SHG for BPTZ is 0.65 times greater than the standard KDP. BPTZ are excellent materials that make way for the development of their electrofluorochromism (EF) and the creation of electrofluorochromic as well as optoelectronic devices.",
"Synthesis, characterization and properties of nitrogen-rich compounds based on cyanuric acid: a promising design in the development of new energetic materials","Nitrogen-rich compounds such as ammonium (1), hydrazinium (2), aminoguanidinium (3), diaminoguanidinium (4), triaminoguanidinium (5), aminonitroguanidinium (6), aminocarbonylguanidinium (7), and metforminium (8), based on a nitrogen-rich anion [CA(-) (N% = 32.55%, CA = cyanuric acid) and co-crystal 5-amino-1H-tetrazole based on CA (9) were synthesized by means of metathesis reactions. The crystal structures of compounds 2, 4, and 9 center dot H2O were determined by single-crystal X-ray diffraction and fully characterized by UV-vis, FT-IR, H-1 NMR, MS and elemental analysis. The thermal stabilities were investigated by differential thermal analysis (DTA) and thermogravimetric analysis (TGA). The DTA results show that all compounds exhibit high thermal stabilities. Additionally, the heats of formation were calculated by using the B3LYP functional with the 6-311++G** basis set and a Born-Haber energy cycle. Theoretical calculations provided detonation pressures and velocities of the energetic salts within the range of 16.88-30.71 GPa and 6276.5-8392.1 m s(-1), respectively. Impact sensitivities of the compounds were determined by the Fall hammer test. All compounds show insensitive impact sensitivities of >60 J, which are better than those of TATB (50 J).",2016
Combination of Energetic Tetrazole and Triazole: Promising Materials with Exceptional Stability and Low Mechanical Sensitivity as Propellants and Gas Generators,": An innovative synthesis of 5-((1H-tetrazol-5-yl)methyl)-4H-1,2,4triazole-3,4-diamine (TMT) based on triazole and tetrazole frameworks bearing double amino groups was reported. It is worth mentioning that TMT is insensitive to impact and friction (IS > 40 J, FS > 360 N), thus enabling it to have an exceptional thermal decomposition behavior that is superior to RDX and TNT. Meanwhile, it also has relatively high energetic performance (Dv = 8.417 km/s). A series of energycontaining salts TMT-1-8 were also investigated for their potential applications. Except for TMT-4 and TMT-7, the remaining nitrogen-rich salts have initial decomposition temperatures above 200 degrees C. Furthermore, the salts with positive heat generation all have extraordinary gas production, especially for TMT-1 (Vo = 840.5 dm3/kg), TMT-2 (Vo = 803.9 dm3/kg), and TMT-7 (Vo = 844.3 dm3/kg). The low mechanical sensitivities of the TMT series were discovered, and a majority of them have impact sensitivities exceeding 40 J with friction sensitivities exceeding 360 N which are superior to TNT (IS = 15 J, FS = 353 N). The intermolecular and intramolecular interactions of the crystals TMT-1-3 were explored by Hirshfeld surfaces, 2D fingerprint plots, noncovalent interaction (NCI) analysis, and electrostatic potential surface analysis to understand the physicochemical property changes in relation to the structure. Consequently, this novel tri/tetrazole and polyamine system as a promising material provides the impetus for the development of gas generators and propellants.",2023
"Kinetics of Reversible Polymorphic Transition in Energetic Materials. Phase Transitions α → β and β → α in 1,1-Diamino-2,2-Dinitroethylene","Differential scanning calorimetry and isothermal calorimetry are used to study the kinetics of the alpha -> beta polymorphic transformation (PT) in 1,1-diamino-2,2-dinitroethylene (DADNE). The kinetics of the beta -> alpha PT in DADNE is investigated by infrared spectrophotometry. The alpha -> beta phase transition is described by the first-order autocatalysis equation. The activation energy and the rate constant are determined. The rate of the beta -> alpha PT is described by the kinetic law for two parallel first-order processes. The rate constants for these processes are obtained.",2014
"Molten-State Nitration of Substituted Imidazoles: New Synthetic Approaches to the Novel Melt-Cast Energetic Material, 1-Methyl-2,4,5-trinitroimidazole","Novel, one-step synthetic routes for the preparation of 1-methyl-2,4,5-trinitroimidazole (MTNI) are described. In addition, a new, molten-state nitration method for the synthesis of 1-methyl-2,4,5-trinitroimidazole is developed.",2011
